,worker_id,accept
0,A107AUZRFUUR0V,22
1,A11EEFMG3Y3NCZ,7
2,A11LSO6D7BMY99,37
3,A11N2XYG9AGJ30,1
4,A11Q8U6QTT8KGF,52
5,A11UYTAICVYT0N,58
6,A12HZGOZQD5YK7,31
7,A12LMSWO1N554W,29
8,A133QG754CGS3I,47
9,A143XRCI1YXAFE,2
10,A14JGBZ7KHDI6C,64
11,A14M2EERU7E8KD,1
12,A14RDC318ZNOXK,13
13,A15RYN34UQ9QXF,1
14,A15TFO5B95QVQZ,51
15,A16644NV37L66P,22
16,A169WH54HMYS5Z,41
17,A17ELSQUMU0QT6,13
18,A17W4VSDK9SD33,54
19,A18RMWE4BKHG6R,28
20,A18X8ZAS0QDLKJ,3
21,A190747RP6IDYE,11
22,A19TD2J8506A4Y,16
23,A1A6VHOP1K7RIM,1
24,A1AF6EW9YUMER9,5
25,A1B14CS9DW7008,2
26,A1B179AI3LZKWS,22
27,A1BHR5XQ16T7LA,42
28,A1BIJGB7XA0GME,9
29,A1BZ1VD8V8VJML,3
30,A1C2T79XTDHE39,3
31,A1CLIU8B1Y747D,1
32,A1CWP4G786A6HF,0
33,A1CY01G7686ORZ,1
34,A1DO03UZMUZROP,59
35,A1EDCWCE8SRQ7H,1
36,A1EZMJXN9WY6PN,50
37,A1F1OZ54G177D8,37
38,A1F669OTXWIJW0,21
39,A1FBI9CPTNYMMR,22
40,A1FHKK0RU69RU,9
41,A1FN9GMVQX5T3Z,14
42,A1GKD3NG1NNHRP,44
43,A1GMFGB5HOZW08,60
44,A1H7XQCN2TQJM7,39
45,A1JMJCVG86Y5RT,2
46,A1JQE1NJI0GDZE,12
47,A1KFIQBETMB81I,13
48,A1KP6JSKQXPCSC,47
49,A1L6D082DPMF3N,60
50,A1M0D7YLLFO2CE,38
51,A1M0ZFVIMWWMBA,1
52,A1M5NUDQVORU1O,7
53,A1M8DKX95RX8QE,40
54,A1N1ULK71RHVMM,49
55,A1N35VV9QURKHX,58
56,A1NWLJ1UHISO1E,59
57,A1NWXL4QO30M8U,26
58,A1OAR421WY7JR3,25
59,A1OIBI3PWS4R5K,5
60,A1OU8F92A7M3MR,58
61,A1OWHPMKE7YAGL,16
62,A1PNYLOKED8FWF,60
63,A1PXIIDBEHCLIJ,1
64,A1QCXSZJ3ZLCNY,30
65,A1QEQ64E22TNUZ,55
66,A1RH3X41J9J05R,31
67,A1RRMINTJ8BHKG,51
68,A1RWXE4FE0N6SS,28
69,A1SC2RFB9W6BSG,7
70,A1SIUJEL2LS8UO,52
71,A1SJRFJWFXSDH4,12
72,A1U3I75OPL8UZA,59
73,A1UOIJJQTPB7M5,27
74,A1W1X3S1Y0RKF3,1
75,A1WY1ZEMFVFAAP,52
76,A1XAFKGJBBH6S5,59
77,A1XCQA727LJVL2,1
78,A1XUZFDVKP95VC,17
79,A1Y6VW621TEYXN,8
80,A1YGF0LJJGB30G,33
81,A1YNBQAKX6FUVW,21
82,A1YY9C43J4LJTF,6
83,A1Z9OQ4ULMNKL7,43
84,A1ZE52NWZPN85P,1
85,A1ZK0SH3406UPY,4
86,A2090SRVQLWA3F,47
87,A20DJRAE8TZUH5,1
88,A20FTMW1E6AR1T,60
89,A21LDJ3BBOVZDN,39
90,A226PPE8EN1W8M,1
91,A22ON3MIIG0IJA,6
92,A23DLX3K161MH3,60
93,A23K0YTNUJ0GKR,4
94,A23K7MLCDZPV0D,60
95,A23YOV169QAC2M,41
96,A245CPNDUDHUYX,7
97,A24KGCLUZK6KGT,59
98,A24LB89P1BPKKF,44
99,A24LP60QLUKQWX,2
100,A259AXODQQ0WUJ,60
101,A25UQFIAEJ7AHL,37
102,A26LOVXF4QZZCO,19
103,A26TP6KBY866VC,38
104,A27HOLZGFDAHO3,32
105,A27XRJ6MFJ1BX4,10
106,A2852RLME6S2IX,119
107,A28VQFMR1I0ZW4,2
108,A28X4FOHHMUC8C,60
109,A2959L16M8OES7,55
110,A29IGBZ9R3C59H,78
111,A29TY4SX33SV58,29
112,A2A52EATFDQJ1P,4
113,A2A7O6KYJ9GS8A,58
114,A2B23DWO4WZRA,4
115,A2BKJWXMXTBQ0,8
116,A2BLQ1GVEHJR8T,54
117,A2BNOEYZ3VRW2R,19
118,A2BSULOV6QDJ0P,60
119,A2C0QNEIOSKAV5,11
120,A2C84QVRK3KG57,6
121,A2DWW49I426EFH,36
122,A2E3TO92MCQ9XU,10
123,A2E86HP0ZU8LO4,24
124,A2EED3HLTA96CP,60
125,A2FJH5IO586MR3,2
126,A2FO6J0H70OW05,2
127,A2G7XPM051Q1XB,38
128,A2GDXPQBZOFXTW,43
129,A2GOS6NF74E2ST,14
130,A2I37S7GQR6X1H,1
131,A2I9PUZT19ZBO8,60
132,A2IQ0QCTQ3KWLT,49
133,A2JK9URISOXMBQ,27
134,A2JQMNU03EWOEA,14
135,A2JTV44ZIGMS5D,60
136,A2KAGFQU28JY43,59
137,A2KMHUYFMCXRJ9,9
138,A2KSC4ROE0ZCKI,1
139,A2MCRVU8I9VNHG,13
140,A2MEZ3IXRFNT0E,35
141,A2MQXOHGLFWTGL,6
142,A2MUIT2O917CH2,1
143,A2MYLV7DGUL42B,22
144,A2N9AKAOR17XB3,2
145,A2NXMRPHG86N2T,35
146,A2NZAL7KHOR6VF,39
147,A2ONILC0LZKG6Y,44
148,A2PJBSDDN22XIX,52
149,A2PSR3CMNR1R9X,2
150,A2PUL3ZDXOW0VZ,2
151,A2Q7K57M1O9K6N,14
